,Unnamed: 0.1,Unnamed: 0,Name,Author,num_page,Language,User_rating,rating_num,Reviews,Genre_1,Genre_2,Genre_3,Year,Publisher,book_url
1696,,,After Forever Ends,Melodie Ramone,564,English,4.04,"1,521",241,Romance,Contemporary,Fiction,2012,Gingersnap Press,https://www.goodreads.com//book/show/16046121-after-forever-ends
1697,,,The True Confessions of Charlotte Doyle,Avi,232,English,3.84,"84,079","3,713",Historical Fiction,Young Adult,Fiction,1990,Harpercollins Childrens Books,https://www.goodreads.com//book/show/310146.The_True_Confessions_of_Charlotte_Doyle
1698,,,A Storm of Swords: Steel and Snow,George R.R. Martin,663,English,4.46,"79,343","2,362",Epic Fantasy,High Fantasy,Adult,2000,HarperVoyager,https://www.goodreads.com//book/show/768889.A_Storm_of_Swords
1699,,,The Human Obsession,Heath Sommer,316,English,4.14,184,40,Mystery,Psychology,Fiction,2010,Tate Publishing,https://www.goodreads.com//book/show/9849568-the-human-obsession
1700,,,"Blue Lily, Lily Blue",Maggie Stiefvater,391,English,4.26,"154,096","16,530",Fantasy,Young Adult,Paranormal,2014,Scholastic Press,https://www.goodreads.com//book/show/17378508-blue-lily-lily-blue
1701,,,The Electric Kool-Aid Acid Test,Tom Wolfe,416,English,3.92,"73,884","2,278",Nonfiction,History,Classics,1968,Bantam,https://www.goodreads.com//book/show/7442.The_Electric_Kool_Aid_Acid_Test
1702,,,The Lottery and Other Stories,Shirley Jackson,302,English,4.04,"73,249","3,483",Short Stories,Horror,Fiction,1949,"Farrar, Straus and Giroux",https://www.goodreads.com//book/show/89723.The_Lottery_and_Other_Stories
1703,,,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,319,English,4.38,"632,997","42,750",Nonfiction,Self Help,Psychology,2018,Avery,https://www.goodreads.com//book/show/40121378-atomic-habits
1704,,,The Hidden Oracle,Rick Riordan,384,English,4.18,"169,454","13,951",Fantasy,Mythology,Young Adult,2016,Disney-Hyperion,https://www.goodreads.com//book/show/26252859-the-hidden-oracle
1705,,,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,385,English,4.45,"2,200,185","213,209",Fiction,Romance,Historical Fiction,2017,Washington Square Press,https://www.goodreads.com//book/show/33160963-the-seven-husbands-of-evelyn-hugo
1706,,,Shadowland,Alyson Noel,339,English,3.66,"82,368","2,653",Young Adult,Fantasy,Paranormal,2009,St. Martin's Griffin,https://www.goodreads.com//book/show/6581511-shadowland
1707,,,The Gentleman's Guide to Vice and Virtue,Mackenzi Lee,528,English,4.05,"130,200","20,071",Historical Fiction,Young Adult,Romance,2017,Katherine Tegen Books,https://www.goodreads.com//book/show/29283884-the-gentleman-s-guide-to-vice-and-virtue
1708,,,The Lords of Discipline,Pat Conroy,512,English,4.32,"27,389","1,590",Fiction,Historical Fiction,Military Fiction,1980,Bantam,https://www.goodreads.com//book/show/85443.The_Lords_of_Discipline
